Title,Company,Location,Skills,Date,Category,Description
Full Stack Developer,Incyte Studios,🇺🇸 United States,"Engineer, Full Stack",2025-04-06T00:00:05+00:00,dev,Full Stack Developer 🎈 verified Incyte Studios 🇺🇸 United States 💰 $130k - $170k
Senior PHP Laravel Developer Full Stack,Interaction Design Foundation,🌏 Worldwide,"Full Stack, PHP, Laravel, Tailwind, Design",2025-03-23T00:00:08+00:00,dev,Senior PHP Laravel Developer Full Stack 🎈 Interaction Design Foundation 🌏 Worldwide 💰 $10k - $750k
Senior Fullstack Developer,Swipe Games,🌏 Worldwide,"Front End, Backend, Full Stack, JavaScript, Node, React",2025-08-23T00:00:10+00:00,dev,Senior Fullstack Developer 🎈 verified Swipe Games 🌏 Worldwide 💰 $60k - $90k
Software Engineer Data Infrastructure & Acquisition,Speechify,🌏 Worldwide,,2025-08-22T00:00:04+00:00,dev,Software Engineer Data Infrastructure & Acquisition 🎈 verified Speechify 🌏 Worldwide 💰 $140k - $200k
Content Producer Technical Content Engineer Junior Dev,Private.Ki,🌏 Worldwide,"Other, Writer, Writing, Marketing",2025-08-20T00:00:06+00:00,dev,Content Producer Technical Content Engineer Junior Dev 🎈 Private.Ki 🌏 Worldwide 💰 $20k - $40k
Senior Full Stack Engineer,AMK Solutions,🌏 Worldwide,,2025-08-18T00:00:09+00:00,dev,Senior Full Stack Engineer 🎈 AMK Solutions 🌏 Worldwide 💰 $30k - $40k
Senior Staff Ruby on Rails Engineer,Housecall Pro,🇧🇷 Brazil,"Ruby, Backend",2025-08-15T21:43:41+00:00,dev,Senior Staff Ruby on Rails Engineer verified Housecall Pro 🇧🇷 Brazil 🇲🇽 Mexico 🇦🇷 Argentina 🇨🇴 Colombia 🇺🇾 Uruguay 💰 $90k - $100k ⏰ Contractor
Senior Elixir Engineer,Sanctuary Computer,🌏 Worldwide,"Executive, Backend, Full Stack, SaaS, Senior, Ruby, Python, Pyton, Django, React Native, JavaScript, Node",2025-08-13T16:32:35+00:00,dev,Senior Elixir Engineer Sanctuary Computer 🌏 Worldwide 💰 $150k - $220k ⏰ Contractor
FullStack Engineer,NTD software,💃 Latin America,"Design, React, Front End, Technical, Support, Developer, Software, Code, Web, DevOps, JavaScript, Cloud, CSS, Mobile, Engineer, Backend, Fullstack",2025-08-12T22:00:02+00:00,dev,FullStack Engineer NTD software 💃 Latin America 💰 $60k - $125k*
Mobile Developer,The Biz Conquest,💃 Latin America,"Engineer, Mobiledev, React Native",2025-08-10T22:38:08+00:00,dev,Mobile Developer verified The Biz Conquest 💃 Latin America 💰 $20k - $40k
Javascript Fullstack Engineer Senior,Lumenalta,🌏 Worldwide,"Engineer, JavaScript",2025-08-07T00:00:10+00:00,dev,Javascript Fullstack Engineer Senior 🎈 Lumenalta 🌏 Worldwide 🇪🇺 Europe 💰 $50k - $90k
Senior Full Stack Engineer,FetLife,🌏 Worldwide,"Engineer, Ruby, Vue, Redis, Rust, Kubernetes, Work from Home, Remote, Terraform, Google Cloud, Senior, JavaScript, Backend, Front End, Full Time, Full Stack, SQL, Postgres, Elasticsearch, Typescript",2025-08-06T09:48:22+00:00,dev,Senior Full Stack Engineer verified FetLife 🌏 Worldwide 💰 $110k - $170k
Principal Software Engineer,CEF.Ai,🇪🇺 Europe,Other,2025-07-29T13:16:27+00:00,dev,Principal Software Engineer CEF.Ai 🇪🇺 Europe 🇩🇪 Germany 💰 $80k - $160k
Software engineer,Sticker Mule,💰 $140k - $180k,"Engineer, Postgres, Docker, Redis, Kubernetes, GCP",2025-07-28T09:46:06+00:00,dev,Software engineer Sticker Mule 💰 $140k - $180k
Senior Backend Engineer,HockeyStack,🌏 Worldwide,"JavaScript, Backend, API, Engineer",2025-06-26T00:00:06+00:00,dev,Senior Backend Engineer 🎈 verified HockeyStack 🌏 Worldwide 💰 $80k - $100k
Tech Cofounder CTO,Founders Factory,🇪🇺 Europe,"Full Stack, API, Engineer, Senior, Mobile",2025-05-29T11:44:49+00:00,dev,Tech Cofounder CTO verified Founders Factory 🇪🇺 Europe 💰 $60k - $100k
Senior React Native SDK Engineer,Nami ML,🌏 Worldwide,"JavaScript, React Native, Mobile, Typescript",2025-05-29T22:36:46+00:00,dev,Senior React Native SDK Engineer Nami ML 🌏 Worldwide 💰 $50k - $180k ⏰ Contractor
Spanish Speaking Software Support Engineer,Payara,🌏 Worldwide,"Engineer, Java",2025-05-26T09:05:18+00:00,dev,Spanish Speaking Software Support Engineer verified Payara 🌏 Worldwide 💃 Latin America 🇪🇸 Spain 🇷🇴 Romania 💰 $10k - $30k
Administrative Executive,Prime Design & Build,💃 Latin America,"Sys Admin, Design, Executive, Admin, Virtual Assistant, Other, Non Tech",2025-04-19T14:29:22+00:00,dev,Administrative Executive Prime Design & Build 💃 Latin America 🌏 Worldwide 💰 $10k - $50k
Senior Software Engineer,Emergent Software,🌏 Probably worldwide,"Software, Design, React, Front End, Training, Consulting, Technical, UX, Code, Web, Scrum, DevOps, JavaScript, Cloud, Microsoft, Mobile, Management, Lead, Senior, Healthcare, Engineer, Engineering, Backend",2025-04-12T16:01:56+00:00,dev,Senior Software Engineer verified Emergent Software 🌏 Probably worldwide 💰 $68k - $100k*
Full Stack Developer,Incyte Studios,🇺🇸 United States,"Engineer, Full Stack",2025-04-06T00:00:05+00:00,dev,Full Stack Developer 🎈 verified Incyte Studios 🇺🇸 United States 💰 $130k - $170k
Senior PHP Laravel Developer Full Stack,Interaction Design Foundation,🌏 Worldwide,"Full Stack, PHP, Laravel, Tailwind, Design",2025-03-23T00:00:08+00:00,dev,Senior PHP Laravel Developer Full Stack 🎈 Interaction Design Foundation 🌏 Worldwide 💰 $10k - $750k
Senior Fullstack Developer,Swipe Games,🌏 Worldwide,"Front End, Backend, Full Stack, JavaScript, Node, React",2025-08-23T00:00:10+00:00,dev,Senior Fullstack Developer 🎈 verified Swipe Games 🌏 Worldwide 💰 $60k - $90k
Software Engineer Data Infrastructure & Acquisition,Speechify,🌏 Worldwide,,2025-08-22T00:00:04+00:00,dev,Software Engineer Data Infrastructure & Acquisition 🎈 verified Speechify 🌏 Worldwide 💰 $140k - $200k
Content Producer Technical Content Engineer Junior Dev,Private.Ki,🌏 Worldwide,"Other, Writer, Writing, Marketing",2025-08-20T00:00:06+00:00,dev,Content Producer Technical Content Engineer Junior Dev 🎈 Private.Ki 🌏 Worldwide 💰 $20k - $40k
Senior Full Stack Engineer,AMK Solutions,🌏 Worldwide,,2025-08-18T00:00:09+00:00,dev,Senior Full Stack Engineer 🎈 AMK Solutions 🌏 Worldwide 💰 $30k - $40k
Senior Staff Ruby on Rails Engineer,Housecall Pro,🇧🇷 Brazil,"Ruby, Backend",2025-08-15T21:43:41+00:00,dev,Senior Staff Ruby on Rails Engineer verified Housecall Pro 🇧🇷 Brazil 🇲🇽 Mexico 🇦🇷 Argentina 🇨🇴 Colombia 🇺🇾 Uruguay 💰 $90k - $100k ⏰ Contractor
Senior Elixir Engineer,Sanctuary Computer,🌏 Worldwide,"Executive, Backend, Full Stack, SaaS, Senior, Ruby, Python, Pyton, Django, React Native, JavaScript, Node",2025-08-13T16:32:35+00:00,dev,Senior Elixir Engineer Sanctuary Computer 🌏 Worldwide 💰 $150k - $220k ⏰ Contractor
FullStack Engineer,NTD software,💃 Latin America,"Design, React, Front End, Technical, Support, Developer, Software, Code, Web, DevOps, JavaScript, Cloud, CSS, Mobile, Engineer, Backend, Fullstack",2025-08-12T22:00:02+00:00,dev,FullStack Engineer NTD software 💃 Latin America 💰 $60k - $125k*
Mobile Developer,The Biz Conquest,💃 Latin America,"Engineer, Mobiledev, React Native",2025-08-10T22:38:08+00:00,dev,Mobile Developer verified The Biz Conquest 💃 Latin America 💰 $20k - $40k
Javascript Fullstack Engineer Senior,Lumenalta,🌏 Worldwide,"Engineer, JavaScript",2025-08-07T00:00:10+00:00,dev,Javascript Fullstack Engineer Senior 🎈 Lumenalta 🌏 Worldwide 🇪🇺 Europe 💰 $50k - $90k
Senior Full Stack Engineer,FetLife,🌏 Worldwide,"Engineer, Ruby, Vue, Redis, Rust, Kubernetes, Work from Home, Remote, Terraform, Google Cloud, Senior, JavaScript, Backend, Front End, Full Time, Full Stack, SQL, Postgres, Elasticsearch, Typescript",2025-08-06T09:48:22+00:00,dev,Senior Full Stack Engineer verified FetLife 🌏 Worldwide 💰 $110k - $170k
Principal Software Engineer,CEF.Ai,🇪🇺 Europe,Other,2025-07-29T13:16:27+00:00,dev,Principal Software Engineer CEF.Ai 🇪🇺 Europe 🇩🇪 Germany 💰 $80k - $160k
Software engineer,Sticker Mule,💰 $140k - $180k,"Engineer, Postgres, Docker, Redis, Kubernetes, GCP",2025-07-28T09:46:06+00:00,dev,Software engineer Sticker Mule 💰 $140k - $180k
Senior Backend Engineer,HockeyStack,🌏 Worldwide,"JavaScript, Backend, API, Engineer",2025-06-26T00:00:06+00:00,dev,Senior Backend Engineer 🎈 verified HockeyStack 🌏 Worldwide 💰 $80k - $100k
Tech Cofounder CTO,Founders Factory,🇪🇺 Europe,"Full Stack, API, Engineer, Senior, Mobile",2025-05-29T11:44:49+00:00,dev,Tech Cofounder CTO verified Founders Factory 🇪🇺 Europe 💰 $60k - $100k
Senior React Native SDK Engineer,Nami ML,🌏 Worldwide,"JavaScript, React Native, Mobile, Typescript",2025-05-29T22:36:46+00:00,dev,Senior React Native SDK Engineer Nami ML 🌏 Worldwide 💰 $50k - $180k ⏰ Contractor
Spanish Speaking Software Support Engineer,Payara,🌏 Worldwide,"Engineer, Java",2025-05-26T09:05:18+00:00,dev,Spanish Speaking Software Support Engineer verified Payara 🌏 Worldwide 💃 Latin America 🇪🇸 Spain 🇷🇴 Romania 💰 $10k - $30k
Administrative Executive,Prime Design & Build,💃 Latin America,"Sys Admin, Design, Executive, Admin, Virtual Assistant, Other, Non Tech",2025-04-19T14:29:22+00:00,dev,Administrative Executive Prime Design & Build 💃 Latin America 🌏 Worldwide 💰 $10k - $50k
Senior Software Engineer,Emergent Software,🌏 Probably worldwide,"Software, Design, React, Front End, Training, Consulting, Technical, UX, Code, Web, Scrum, DevOps, JavaScript, Cloud, Microsoft, Mobile, Management, Lead, Senior, Healthcare, Engineer, Engineering, Backend",2025-04-12T16:01:56+00:00,dev,Senior Software Engineer verified Emergent Software 🌏 Probably worldwide 💰 $68k - $100k*
Full Stack Developer,Incyte Studios,🇺🇸 United States,"Engineer, Full Stack",2025-04-06T00:00:05+00:00,dev,Full Stack Developer 🎈 verified Incyte Studios 🇺🇸 United States 💰 $130k - $170k
Senior PHP Laravel Developer Full Stack,Interaction Design Foundation,🌏 Worldwide,"Full Stack, PHP, Laravel, Tailwind, Design",2025-03-23T00:00:08+00:00,dev,Senior PHP Laravel Developer Full Stack 🎈 Interaction Design Foundation 🌏 Worldwide 💰 $10k - $750k
Senior Fullstack Developer,Swipe Games,🌏 Worldwide,"Front End, Backend, Full Stack, JavaScript, Node, React",2025-08-23T00:00:10+00:00,dev,Senior Fullstack Developer 🎈 verified Swipe Games 🌏 Worldwide 💰 $60k - $90k
Software Engineer Data Infrastructure & Acquisition,Speechify,🌏 Worldwide,,2025-08-22T00:00:04+00:00,dev,Software Engineer Data Infrastructure & Acquisition 🎈 verified Speechify 🌏 Worldwide 💰 $140k - $200k
Content Producer Technical Content Engineer Junior Dev,Private.Ki,🌏 Worldwide,"Other, Writer, Writing, Marketing",2025-08-20T00:00:06+00:00,dev,Content Producer Technical Content Engineer Junior Dev 🎈 Private.Ki 🌏 Worldwide 💰 $20k - $40k
Senior Full Stack Engineer,AMK Solutions,🌏 Worldwide,,2025-08-18T00:00:09+00:00,dev,Senior Full Stack Engineer 🎈 AMK Solutions 🌏 Worldwide 💰 $30k - $40k
Senior Staff Ruby on Rails Engineer,Housecall Pro,🇧🇷 Brazil,"Ruby, Backend",2025-08-15T21:43:41+00:00,dev,Senior Staff Ruby on Rails Engineer verified Housecall Pro 🇧🇷 Brazil 🇲🇽 Mexico 🇦🇷 Argentina 🇨🇴 Colombia 🇺🇾 Uruguay 💰 $90k - $100k ⏰ Contractor
Senior Elixir Engineer,Sanctuary Computer,🌏 Worldwide,"Executive, Backend, Full Stack, SaaS, Senior, Ruby, Python, Pyton, Django, React Native, JavaScript, Node",2025-08-13T16:32:35+00:00,dev,Senior Elixir Engineer Sanctuary Computer 🌏 Worldwide 💰 $150k - $220k ⏰ Contractor
FullStack Engineer,NTD software,💃 Latin America,"Design, React, Front End, Technical, Support, Developer, Software, Code, Web, DevOps, JavaScript, Cloud, CSS, Mobile, Engineer, Backend, Fullstack",2025-08-12T22:00:02+00:00,dev,FullStack Engineer NTD software 💃 Latin America 💰 $60k - $125k*
Mobile Developer,The Biz Conquest,💃 Latin America,"Engineer, Mobiledev, React Native",2025-08-10T22:38:08+00:00,dev,Mobile Developer verified The Biz Conquest 💃 Latin America 💰 $20k - $40k
Javascript Fullstack Engineer Senior,Lumenalta,🌏 Worldwide,"Engineer, JavaScript",2025-08-07T00:00:10+00:00,dev,Javascript Fullstack Engineer Senior 🎈 Lumenalta 🌏 Worldwide 🇪🇺 Europe 💰 $50k - $90k
Senior Full Stack Engineer,FetLife,🌏 Worldwide,"Engineer, Ruby, Vue, Redis, Rust, Kubernetes, Work from Home, Remote, Terraform, Google Cloud, Senior, JavaScript, Backend, Front End, Full Time, Full Stack, SQL, Postgres, Elasticsearch, Typescript",2025-08-06T09:48:22+00:00,dev,Senior Full Stack Engineer verified FetLife 🌏 Worldwide 💰 $110k - $170k
Principal Software Engineer,CEF.Ai,🇪🇺 Europe,Other,2025-07-29T13:16:27+00:00,dev,Principal Software Engineer CEF.Ai 🇪🇺 Europe 🇩🇪 Germany 💰 $80k - $160k
Software engineer,Sticker Mule,💰 $140k - $180k,"Engineer, Postgres, Docker, Redis, Kubernetes, GCP",2025-07-28T09:46:06+00:00,dev,Software engineer Sticker Mule 💰 $140k - $180k
Senior Backend Engineer,HockeyStack,🌏 Worldwide,"JavaScript, Backend, API, Engineer",2025-06-26T00:00:06+00:00,dev,Senior Backend Engineer 🎈 verified HockeyStack 🌏 Worldwide 💰 $80k - $100k
Tech Cofounder CTO,Founders Factory,🇪🇺 Europe,"Full Stack, API, Engineer, Senior, Mobile",2025-05-29T11:44:49+00:00,dev,Tech Cofounder CTO verified Founders Factory 🇪🇺 Europe 💰 $60k - $100k
Senior React Native SDK Engineer,Nami ML,🌏 Worldwide,"JavaScript, React Native, Mobile, Typescript",2025-05-29T22:36:46+00:00,dev,Senior React Native SDK Engineer Nami ML 🌏 Worldwide 💰 $50k - $180k ⏰ Contractor
Spanish Speaking Software Support Engineer,Payara,🌏 Worldwide,"Engineer, Java",2025-05-26T09:05:18+00:00,dev,Spanish Speaking Software Support Engineer verified Payara 🌏 Worldwide 💃 Latin America 🇪🇸 Spain 🇷🇴 Romania 💰 $10k - $30k
Administrative Executive,Prime Design & Build,💃 Latin America,"Sys Admin, Design, Executive, Admin, Virtual Assistant, Other, Non Tech",2025-04-19T14:29:22+00:00,dev,Administrative Executive Prime Design & Build 💃 Latin America 🌏 Worldwide 💰 $10k - $50k
Senior Software Engineer,Emergent Software,🌏 Probably worldwide,"Software, Design, React, Front End, Training, Consulting, Technical, UX, Code, Web, Scrum, DevOps, JavaScript, Cloud, Microsoft, Mobile, Management, Lead, Senior, Healthcare, Engineer, Engineering, Backend",2025-04-12T16:01:56+00:00,dev,Senior Software Engineer verified Emergent Software 🌏 Probably worldwide 💰 $68k - $100k*
Full Stack Developer,Incyte Studios,🇺🇸 United States,"Engineer, Full Stack",2025-04-06T00:00:05+00:00,dev,Full Stack Developer 🎈 verified Incyte Studios 🇺🇸 United States 💰 $130k - $170k
Senior PHP Laravel Developer Full Stack,Interaction Design Foundation,🌏 Worldwide,"Full Stack, PHP, Laravel, Tailwind, Design",2025-03-23T00:00:08+00:00,dev,Senior PHP Laravel Developer Full Stack 🎈 Interaction Design Foundation 🌏 Worldwide 💰 $10k - $750k
Senior Fullstack Developer,Swipe Games,🌏 Worldwide,"Front End, Backend, Full Stack, JavaScript, Node, React",2025-08-23T00:00:10+00:00,dev,Senior Fullstack Developer 🎈 verified Swipe Games 🌏 Worldwide 💰 $60k - $90k
Software Engineer Data Infrastructure & Acquisition,Speechify,🌏 Worldwide,,2025-08-22T00:00:04+00:00,dev,Software Engineer Data Infrastructure & Acquisition 🎈 verified Speechify 🌏 Worldwide 💰 $140k - $200k
Content Producer Technical Content Engineer Junior Dev,Private.Ki,🌏 Worldwide,"Other, Writer, Writing, Marketing",2025-08-20T00:00:06+00:00,dev,Content Producer Technical Content Engineer Junior Dev 🎈 Private.Ki 🌏 Worldwide 💰 $20k - $40k
Senior Full Stack Engineer,AMK Solutions,🌏 Worldwide,,2025-08-18T00:00:09+00:00,dev,Senior Full Stack Engineer 🎈 AMK Solutions 🌏 Worldwide 💰 $30k - $40k
Senior Staff Ruby on Rails Engineer,Housecall Pro,🇧🇷 Brazil,"Ruby, Backend",2025-08-15T21:43:41+00:00,dev,Senior Staff Ruby on Rails Engineer verified Housecall Pro 🇧🇷 Brazil 🇲🇽 Mexico 🇦🇷 Argentina 🇨🇴 Colombia 🇺🇾 Uruguay 💰 $90k - $100k ⏰ Contractor
Senior Elixir Engineer,Sanctuary Computer,🌏 Worldwide,"Executive, Backend, Full Stack, SaaS, Senior, Ruby, Python, Pyton, Django, React Native, JavaScript, Node",2025-08-13T16:32:35+00:00,dev,Senior Elixir Engineer Sanctuary Computer 🌏 Worldwide 💰 $150k - $220k ⏰ Contractor
FullStack Engineer,NTD software,💃 Latin America,"Design, React, Front End, Technical, Support, Developer, Software, Code, Web, DevOps, JavaScript, Cloud, CSS, Mobile, Engineer, Backend, Fullstack",2025-08-12T22:00:02+00:00,dev,FullStack Engineer NTD software 💃 Latin America 💰 $60k - $125k*
Mobile Developer,The Biz Conquest,💃 Latin America,"Engineer, Mobiledev, React Native",2025-08-10T22:38:08+00:00,dev,Mobile Developer verified The Biz Conquest 💃 Latin America 💰 $20k - $40k
Javascript Fullstack Engineer Senior,Lumenalta,🌏 Worldwide,"Engineer, JavaScript",2025-08-07T00:00:10+00:00,dev,Javascript Fullstack Engineer Senior 🎈 Lumenalta 🌏 Worldwide 🇪🇺 Europe 💰 $50k - $90k
Senior Full Stack Engineer,FetLife,🌏 Worldwide,"Engineer, Ruby, Vue, Redis, Rust, Kubernetes, Work from Home, Remote, Terraform, Google Cloud, Senior, JavaScript, Backend, Front End, Full Time, Full Stack, SQL, Postgres, Elasticsearch, Typescript",2025-08-06T09:48:22+00:00,dev,Senior Full Stack Engineer verified FetLife 🌏 Worldwide 💰 $110k - $170k
Principal Software Engineer,CEF.Ai,🇪🇺 Europe,Other,2025-07-29T13:16:27+00:00,dev,Principal Software Engineer CEF.Ai 🇪🇺 Europe 🇩🇪 Germany 💰 $80k - $160k
Software engineer,Sticker Mule,💰 $140k - $180k,"Engineer, Postgres, Docker, Redis, Kubernetes, GCP",2025-07-28T09:46:06+00:00,dev,Software engineer Sticker Mule 💰 $140k - $180k
Senior Backend Engineer,HockeyStack,🌏 Worldwide,"JavaScript, Backend, API, Engineer",2025-06-26T00:00:06+00:00,dev,Senior Backend Engineer 🎈 verified HockeyStack 🌏 Worldwide 💰 $80k - $100k
Tech Cofounder CTO,Founders Factory,🇪🇺 Europe,"Full Stack, API, Engineer, Senior, Mobile",2025-05-29T11:44:49+00:00,dev,Tech Cofounder CTO verified Founders Factory 🇪🇺 Europe 💰 $60k - $100k
Senior React Native SDK Engineer,Nami ML,🌏 Worldwide,"JavaScript, React Native, Mobile, Typescript",2025-05-29T22:36:46+00:00,dev,Senior React Native SDK Engineer Nami ML 🌏 Worldwide 💰 $50k - $180k ⏰ Contractor
Spanish Speaking Software Support Engineer,Payara,🌏 Worldwide,"Engineer, Java",2025-05-26T09:05:18+00:00,dev,Spanish Speaking Software Support Engineer verified Payara 🌏 Worldwide 💃 Latin America 🇪🇸 Spain 🇷🇴 Romania 💰 $10k - $30k
Administrative Executive,Prime Design & Build,💃 Latin America,"Sys Admin, Design, Executive, Admin, Virtual Assistant, Other, Non Tech",2025-04-19T14:29:22+00:00,dev,Administrative Executive Prime Design & Build 💃 Latin America 🌏 Worldwide 💰 $10k - $50k
Senior Software Engineer,Emergent Software,🌏 Probably worldwide,"Software, Design, React, Front End, Training, Consulting, Technical, UX, Code, Web, Scrum, DevOps, JavaScript, Cloud, Microsoft, Mobile, Management, Lead, Senior, Healthcare, Engineer, Engineering, Backend",2025-04-12T16:01:56+00:00,dev,Senior Software Engineer verified Emergent Software 🌏 Probably worldwide 💰 $68k - $100k*
Full Stack Developer,Incyte Studios,🇺🇸 United States,"Engineer, Full Stack",2025-04-06T00:00:05+00:00,dev,Full Stack Developer 🎈 verified Incyte Studios 🇺🇸 United States 💰 $130k - $170k
Senior PHP Laravel Developer Full Stack,Interaction Design Foundation,🌏 Worldwide,"Full Stack, PHP, Laravel, Tailwind, Design",2025-03-23T00:00:08+00:00,dev,Senior PHP Laravel Developer Full Stack 🎈 Interaction Design Foundation 🌏 Worldwide 💰 $10k - $750k
Senior Fullstack Developer,Swipe Games,🌏 Worldwide,"Front End, Backend, Full Stack, JavaScript, Node, React",2025-08-23T00:00:10+00:00,dev,Senior Fullstack Developer 🎈 verified Swipe Games 🌏 Worldwide 💰 $60k - $90k
Software Engineer Data Infrastructure & Acquisition,Speechify,🌏 Worldwide,,2025-08-22T00:00:04+00:00,dev,Software Engineer Data Infrastructure & Acquisition 🎈 verified Speechify 🌏 Worldwide 💰 $140k - $200k
Content Producer Technical Content Engineer Junior Dev,Private.Ki,🌏 Worldwide,"Other, Writer, Writing, Marketing",2025-08-20T00:00:06+00:00,dev,Content Producer Technical Content Engineer Junior Dev 🎈 Private.Ki 🌏 Worldwide 💰 $20k - $40k
Senior Full Stack Engineer,AMK Solutions,🌏 Worldwide,,2025-08-18T00:00:09+00:00,dev,Senior Full Stack Engineer 🎈 AMK Solutions 🌏 Worldwide 💰 $30k - $40k
Senior Staff Ruby on Rails Engineer,Housecall Pro,🇧🇷 Brazil,"Ruby, Backend",2025-08-15T21:43:41+00:00,dev,Senior Staff Ruby on Rails Engineer verified Housecall Pro 🇧🇷 Brazil 🇲🇽 Mexico 🇦🇷 Argentina 🇨🇴 Colombia 🇺🇾 Uruguay 💰 $90k - $100k ⏰ Contractor
Senior Elixir Engineer,Sanctuary Computer,🌏 Worldwide,"Executive, Backend, Full Stack, SaaS, Senior, Ruby, Python, Pyton, Django, React Native, JavaScript, Node",2025-08-13T16:32:35+00:00,dev,Senior Elixir Engineer Sanctuary Computer 🌏 Worldwide 💰 $150k - $220k ⏰ Contractor
FullStack Engineer,NTD software,💃 Latin America,"Design, React, Front End, Technical, Support, Developer, Software, Code, Web, DevOps, JavaScript, Cloud, CSS, Mobile, Engineer, Backend, Fullstack",2025-08-12T22:00:02+00:00,dev,FullStack Engineer NTD software 💃 Latin America 💰 $60k - $125k*
Mobile Developer,The Biz Conquest,💃 Latin America,"Engineer, Mobiledev, React Native",2025-08-10T22:38:08+00:00,dev,Mobile Developer verified The Biz Conquest 💃 Latin America 💰 $20k - $40k
Javascript Fullstack Engineer Senior,Lumenalta,🌏 Worldwide,"Engineer, JavaScript",2025-08-07T00:00:10+00:00,dev,Javascript Fullstack Engineer Senior 🎈 Lumenalta 🌏 Worldwide 🇪🇺 Europe 💰 $50k - $90k
Senior Full Stack Engineer,FetLife,🌏 Worldwide,"Engineer, Ruby, Vue, Redis, Rust, Kubernetes, Work from Home, Remote, Terraform, Google Cloud, Senior, JavaScript, Backend, Front End, Full Time, Full Stack, SQL, Postgres, Elasticsearch, Typescript",2025-08-06T09:48:22+00:00,dev,Senior Full Stack Engineer verified FetLife 🌏 Worldwide 💰 $110k - $170k
Principal Software Engineer,CEF.Ai,🇪🇺 Europe,Other,2025-07-29T13:16:27+00:00,dev,Principal Software Engineer CEF.Ai 🇪🇺 Europe 🇩🇪 Germany 💰 $80k - $160k
Software engineer,Sticker Mule,💰 $140k - $180k,"Engineer, Postgres, Docker, Redis, Kubernetes, GCP",2025-07-28T09:46:06+00:00,dev,Software engineer Sticker Mule 💰 $140k - $180k
Senior Backend Engineer,HockeyStack,🌏 Worldwide,"JavaScript, Backend, API, Engineer",2025-06-26T00:00:06+00:00,dev,Senior Backend Engineer 🎈 verified HockeyStack 🌏 Worldwide 💰 $80k - $100k
Tech Cofounder CTO,Founders Factory,🇪🇺 Europe,"Full Stack, API, Engineer, Senior, Mobile",2025-05-29T11:44:49+00:00,dev,Tech Cofounder CTO verified Founders Factory 🇪🇺 Europe 💰 $60k - $100k
Senior React Native SDK Engineer,Nami ML,🌏 Worldwide,"JavaScript, React Native, Mobile, Typescript",2025-05-29T22:36:46+00:00,dev,Senior React Native SDK Engineer Nami ML 🌏 Worldwide 💰 $50k - $180k ⏰ Contractor
Spanish Speaking Software Support Engineer,Payara,🌏 Worldwide,"Engineer, Java",2025-05-26T09:05:18+00:00,dev,Spanish Speaking Software Support Engineer verified Payara 🌏 Worldwide 💃 Latin America 🇪🇸 Spain 🇷🇴 Romania 💰 $10k - $30k
Administrative Executive,Prime Design & Build,💃 Latin America,"Sys Admin, Design, Executive, Admin, Virtual Assistant, Other, Non Tech",2025-04-19T14:29:22+00:00,dev,Administrative Executive Prime Design & Build 💃 Latin America 🌏 Worldwide 💰 $10k - $50k
Senior Software Engineer,Emergent Software,🌏 Probably worldwide,"Software, Design, React, Front End, Training, Consulting, Technical, UX, Code, Web, Scrum, DevOps, JavaScript, Cloud, Microsoft, Mobile, Management, Lead, Senior, Healthcare, Engineer, Engineering, Backend",2025-04-12T16:01:56+00:00,dev,Senior Software Engineer verified Emergent Software 🌏 Probably worldwide 💰 $68k - $100k*
Full Stack Developer,Incyte Studios,🇺🇸 United States,"Engineer, Full Stack",2025-04-06T00:00:05+00:00,dev,Full Stack Developer 🎈 verified Incyte Studios 🇺🇸 United States 💰 $130k - $170k
Senior PHP Laravel Developer Full Stack,Interaction Design Foundation,🌏 Worldwide,"Full Stack, PHP, Laravel, Tailwind, Design",2025-03-23T00:00:08+00:00,dev,Senior PHP Laravel Developer Full Stack 🎈 Interaction Design Foundation 🌏 Worldwide 💰 $10k - $750k
Senior Fullstack Developer,Swipe Games,🌏 Worldwide,"Front End, Backend, Full Stack, JavaScript, Node, React",2025-08-23T00:00:10+00:00,dev,Senior Fullstack Developer 🎈 verified Swipe Games 🌏 Worldwide 💰 $60k - $90k
Software Engineer Data Infrastructure & Acquisition,Speechify,🌏 Worldwide,,2025-08-22T00:00:04+00:00,dev,Software Engineer Data Infrastructure & Acquisition 🎈 verified Speechify 🌏 Worldwide 💰 $140k - $200k
Content Producer Technical Content Engineer Junior Dev,Private.Ki,🌏 Worldwide,"Other, Writer, Writing, Marketing",2025-08-20T00:00:06+00:00,dev,Content Producer Technical Content Engineer Junior Dev 🎈 Private.Ki 🌏 Worldwide 💰 $20k - $40k
Senior Full Stack Engineer,AMK Solutions,🌏 Worldwide,,2025-08-18T00:00:09+00:00,dev,Senior Full Stack Engineer 🎈 AMK Solutions 🌏 Worldwide 💰 $30k - $40k
Senior Staff Ruby on Rails Engineer,Housecall Pro,🇧🇷 Brazil,"Ruby, Backend",2025-08-15T21:43:41+00:00,dev,Senior Staff Ruby on Rails Engineer verified Housecall Pro 🇧🇷 Brazil 🇲🇽 Mexico 🇦🇷 Argentina 🇨🇴 Colombia 🇺🇾 Uruguay 💰 $90k - $100k ⏰ Contractor
